findCMRAPI,11/14/16,1362,1
findCMRAPI,11/15/16,1342,1
findCMRAPI,11/16/16,1313,1
findCMRAPI,11/18/16,1410,1
findCMRAPI,11/22/16,1092,3
findCMRAPI,11/24/16,1496,2
findCMRAPI,11/28/16,1693,1
findCMRAPI,11/29/16,1225,3
findCMRAPI,12/12/16,1375,7
findCMRAPI,12/14/16,1279,2
findCMRAPI,12/5/16,1203,7
findCMRAPI,12/6/16,1402,2
findCMRAPI,12/7/16,1446,5
findCMRAPI,12/8/16,1248,1
findCMRAPI,12/9/16,1141,5
+++++
productTranslation,11/12/16,96,9
productTranslation,11/13/16,108,17
productTranslation,11/14/16,97,55
productTranslation,11/15/16,96,59
productTranslation,11/16/16,98,58
productTranslation,11/17/16,98,53
productTranslation,11/18/16,127,31
productTranslation,11/19/16,103,16
productTranslation,11/20/16,95,11
productTranslation,11/21/16,97,42
productTranslation,11/22/16,98,49
productTranslation,11/23/16,104,27
productTranslation,11/24/16,101,35
productTranslation,11/25/16,100,23
productTranslation,11/26/16,92,16
productTranslation,11/27/16,105,14
productTranslation,11/28/16,97,52
productTranslation,11/29/16,107,58
productTranslation,11/30/16,111,56
productTranslation,12/1/16,106,43
productTranslation,12/10/16,102,14
productTranslation,12/11/16,117,20
productTranslation,12/12/16,111,51
productTranslation,12/13/16,96,39
productTranslation,12/14/16,146,5
productTranslation,12/2/16,102,41
productTranslation,12/3/16,104,17
productTranslation,12/4/16,123,13
productTranslation,12/5/16,99,47
productTranslation,12/6/16,107,51
productTranslation,12/7/16,122,58
productTranslation,12/8/16,98,36
productTranslation,12/9/16,108,37
provision,11/28/16,12317,3
provision,11/29/16,10744,4
provision,11/30/16,5490,4
provision,12/7/16,6208,3
+++++
qrws,11/12/16,2142,1
qrws,11/14/16,1934,8
qrws,11/15/16,1624,9
qrws,11/16/16,2071,4
qrws,11/17/16,2043,7
qrws,11/21/16,2138,11
qrws,11/22/16,1726,4
qrws,11/23/16,923,4
qrws,11/24/16,1858,3
qrws,11/28/16,2011,3
qrws,11/29/16,3036,1
qrws,11/30/16,2931,7
qrws,12/1/16,3947,5
qrws,12/10/16,2548,2
qrws,12/12/16,368,1
qrws,12/13/16,2793,4
qrws,12/2/16,3438,3
qrws,12/5/16,2667,2
qrws,12/6/16,3020,9
qrws,12/7/16,2909,4
qrws,12/8/16,2083,2
qrws,12/9/16,2423,2
+++++
restfulprice,11/12/16,728,2694
restfulprice,11/13/16,688,10210
restfulprice,11/14/16,2453,27439
restfulprice,11/15/16,3260,34216
restfulprice,11/16/16,3203,41046
restfulprice,11/17/16,3074,53353
restfulprice,11/18/16,3808,33852
restfulprice,11/19/16,3305,34192
restfulprice,11/20/16,3287,28182
restfulprice,11/21/16,3071,43219
restfulprice,11/22/16,3116,30542
restfulprice,11/23/16,3346,27246
restfulprice,11/24/16,3050,31904
restfulprice,11/25/16,2982,26340
restfulprice,11/26/16,3140,27639
restfulprice,11/27/16,2910,28636
